,users,ratings,heading,reviews,location,likes count
99,suresh b,4,Pretty good,excellent phone camera is very nice and the stereo speakers are fantastic it gives you cinematic experience with the cool retaina display .Blindly go for it value for money .READ MORE,"Certified Buyer, Bengaluru",726
100,Flipkart Customer,4,Pretty good,"I have been using the earlier versions of iPhones therefore no great change with the UI on personal front. I purchased a rose gold phone but I realised that I should have gone with the black colour. The camera of iPhones are superior in all sense. The phone is sleek and light weight but slippery. Delivery was as promised. Another thing to note is, henceforth the phone are “Made in India” products.READ MORE","Certified Buyer, Greater Noida",1768
101,Mayank Chaube,5,Perfect product!,"IMPORTANT NOTICEIf you buy some apple device online there specifically i phones so 99% of it you get original phones.. but whenever you findp out best deals for yourself do ensure its imei numberSecondly, the probably of getting duplicate accessories increases with the increasing discount.. so must verify themREST the phone is superb especially when you shift first time from Android or WindowsFingerprint and Display attracted me the most😃😃READ MORE","Certified Buyer, New Delhi",445
102,Shariq Ahmad Beigh,5,Awesome,"Well, what can I say... iPhone is awesome as expected. Added the prompt delivery from Flipkart with great packaging. Truly satisfied...The lightening connector Air pods are amazing and a huge upgrade in voice quality when we compared it with an old iPhone earphone.Only con: Not a con really but I would have liked wireless Air Pods with this phone, but after seeing the performance of my lightening connector Air pods I have no regrets at all.READ MORE","Certified Buyer, Bangalore",246
103,Priyanka  Parkar,5,"Sexy got black, really black!","First to Flipkart delivery service - Thanks a lot, I received it earlier than promised. I also received a chocolate from you guys, it felt really nice. Multiplied my joys of receiving my new phone.Now to the iPhone.Packaging - As always - neat & superior!The phone - It feels great. I personally chose the iPhone 7 over 7+ because of the size. Moving from iPhone 5 to 7 was absolutely no downer in terms of size, the size suited me well. Specifications wise - still exploring. ;)What's evi...READ MORE","Certified Buyer, Mumbai",3263
104,Saket,5,Iphone 7 and Flipkart experience,"Received Iphone 7 on the very same day when it was launched.Thank you Flipkart for super super fast delivery and an excellent packing of Iphone 7. Recently switched from android to IOS. So my review will be based on that.Pros : Performance: which is really amazing and that what it makes it worth for as compared to other phones apart from looks, light weight etc. While playing high end graphics game, the phone do get little bit heat up however as compared to android  you will not observe...READ MORE","Certified Buyer, Bangalore",138
105,Flipkart Customer,5,Great experience,"Got this phone yesterday! I upgraded from iPhone 5c and am really happy to have made the choice. iPhone 7 does not really need an introduction or review, so let's talk about the Flipkart experience! Delivery: It got delivered within 2 days and the delivery executive also took my time frame in mind while making a delivery. Since I exchanged my old phone, he waited patiently for me to open this phone and check it before leaving. The phone was packaged really well and all the genuine documents...READ MORE","Certified Buyer, Mumbai",1326
106,chandan kumar panda,5,Great product,"amazing phone  my first i phone 7 it is really nice and good performance valueable money 😉 , it's run with IOS 13 that is osm new features and amazing features 10/10 🥰😍READ MORE","Certified Buyer, Berhampur",142
107,Akshat Gupta,5,Terrific purchase,I ordered the phone on 19th December and got the delivery on 22nd December in the afternoon itself i.e. 2 days before expected delivery. The packing was good and the product is also proper condition. I found the related accesories as mentioned in the specifications. About the phone:Jet Black colour is awesome but the Apple Logo is not properly visible due to this colour. The back side of the phone is scratch prone so you better a back cover also at the same time. Camera is as usual awesome...READ MORE,"Certified Buyer, Sagar",764
108,Ezzazuddin Huseni,5,Must buy!,"From last 5 years my younger brother was using iphone 4s  and i bought iphone 7 for his birthday gift. When i gave gift packet to him he was thinking that my bro bought watch/pen/or something else but he didn't expected iphone 7 . When he opened, i found tear in his eye and he hug me.this all possible only because of flipkart sale coz we r from middle class family and can't afford this mobile in it's actual price so flipkart makes us happy.Thanks you flipkart 😍READ MORE","Certified Buyer, Ahmedabad",5471
109,suresh b,4,Pretty good,excellent phone camera is very nice and the stereo speakers are fantastic it gives you cinematic experience with the cool retaina display .Blindly go for it value for money .READ MORE,"Certified Buyer, Bengaluru",726
110,Flipkart Customer,4,Pretty good,"I have been using the earlier versions of iPhones therefore no great change with the UI on personal front. I purchased a rose gold phone but I realised that I should have gone with the black colour. The camera of iPhones are superior in all sense. The phone is sleek and light weight but slippery. Delivery was as promised. Another thing to note is, henceforth the phone are “Made in India” products.READ MORE","Certified Buyer, Greater Noida",1768
111,Mayank Chaube,5,Perfect product!,"IMPORTANT NOTICEIf you buy some apple device online there specifically i phones so 99% of it you get original phones.. but whenever you findp out best deals for yourself do ensure its imei numberSecondly, the probably of getting duplicate accessories increases with the increasing discount.. so must verify themREST the phone is superb especially when you shift first time from Android or WindowsFingerprint and Display attracted me the most😃😃READ MORE","Certified Buyer, New Delhi",445
112,Shariq Ahmad Beigh,5,Awesome,"Well, what can I say... iPhone is awesome as expected. Added the prompt delivery from Flipkart with great packaging. Truly satisfied...The lightening connector Air pods are amazing and a huge upgrade in voice quality when we compared it with an old iPhone earphone.Only con: Not a con really but I would have liked wireless Air Pods with this phone, but after seeing the performance of my lightening connector Air pods I have no regrets at all.READ MORE","Certified Buyer, Bangalore",246
113,Priyanka  Parkar,5,"Sexy got black, really black!","First to Flipkart delivery service - Thanks a lot, I received it earlier than promised. I also received a chocolate from you guys, it felt really nice. Multiplied my joys of receiving my new phone.Now to the iPhone.Packaging - As always - neat & superior!The phone - It feels great. I personally chose the iPhone 7 over 7+ because of the size. Moving from iPhone 5 to 7 was absolutely no downer in terms of size, the size suited me well. Specifications wise - still exploring. ;)What's evi...READ MORE","Certified Buyer, Mumbai",3263
114,Saket,5,Iphone 7 and Flipkart experience,"Received Iphone 7 on the very same day when it was launched.Thank you Flipkart for super super fast delivery and an excellent packing of Iphone 7. Recently switched from android to IOS. So my review will be based on that.Pros : Performance: which is really amazing and that what it makes it worth for as compared to other phones apart from looks, light weight etc. While playing high end graphics game, the phone do get little bit heat up however as compared to android  you will not observe...READ MORE","Certified Buyer, Bangalore",138
115,Flipkart Customer,5,Great experience,"Got this phone yesterday! I upgraded from iPhone 5c and am really happy to have made the choice. iPhone 7 does not really need an introduction or review, so let's talk about the Flipkart experience! Delivery: It got delivered within 2 days and the delivery executive also took my time frame in mind while making a delivery. Since I exchanged my old phone, he waited patiently for me to open this phone and check it before leaving. The phone was packaged really well and all the genuine documents...READ MORE","Certified Buyer, Mumbai",1326
116,chandan kumar panda,5,Great product,"amazing phone  my first i phone 7 it is really nice and good performance valueable money 😉 , it's run with IOS 13 that is osm new features and amazing features 10/10 🥰😍READ MORE","Certified Buyer, Berhampur",142
117,Akshat Gupta,5,Terrific purchase,I ordered the phone on 19th December and got the delivery on 22nd December in the afternoon itself i.e. 2 days before expected delivery. The packing was good and the product is also proper condition. I found the related accesories as mentioned in the specifications. About the phone:Jet Black colour is awesome but the Apple Logo is not properly visible due to this colour. The back side of the phone is scratch prone so you better a back cover also at the same time. Camera is as usual awesome...READ MORE,"Certified Buyer, Sagar",764
118,Ezzazuddin Huseni,5,Must buy!,"From last 5 years my younger brother was using iphone 4s  and i bought iphone 7 for his birthday gift. When i gave gift packet to him he was thinking that my bro bought watch/pen/or something else but he didn't expected iphone 7 . When he opened, i found tear in his eye and he hug me.this all possible only because of flipkart sale coz we r from middle class family and can't afford this mobile in it's actual price so flipkart makes us happy.Thanks you flipkart 😍READ MORE","Certified Buyer, Ahmedabad",5471
119,suresh b,4,Pretty good,excellent phone camera is very nice and the stereo speakers are fantastic it gives you cinematic experience with the cool retaina display .Blindly go for it value for money .READ MORE,"Certified Buyer, Bengaluru",726
120,Flipkart Customer,4,Pretty good,"I have been using the earlier versions of iPhones therefore no great change with the UI on personal front. I purchased a rose gold phone but I realised that I should have gone with the black colour. The camera of iPhones are superior in all sense. The phone is sleek and light weight but slippery. Delivery was as promised. Another thing to note is, henceforth the phone are “Made in India” products.READ MORE","Certified Buyer, Greater Noida",1768
121,Mayank Chaube,5,Perfect product!,"IMPORTANT NOTICEIf you buy some apple device online there specifically i phones so 99% of it you get original phones.. but whenever you findp out best deals for yourself do ensure its imei numberSecondly, the probably of getting duplicate accessories increases with the increasing discount.. so must verify themREST the phone is superb especially when you shift first time from Android or WindowsFingerprint and Display attracted me the most😃😃READ MORE","Certified Buyer, New Delhi",445
122,Shariq Ahmad Beigh,5,Awesome,"Well, what can I say... iPhone is awesome as expected. Added the prompt delivery from Flipkart with great packaging. Truly satisfied...The lightening connector Air pods are amazing and a huge upgrade in voice quality when we compared it with an old iPhone earphone.Only con: Not a con really but I would have liked wireless Air Pods with this phone, but after seeing the performance of my lightening connector Air pods I have no regrets at all.READ MORE","Certified Buyer, Bangalore",246
123,Priyanka  Parkar,5,"Sexy got black, really black!","First to Flipkart delivery service - Thanks a lot, I received it earlier than promised. I also received a chocolate from you guys, it felt really nice. Multiplied my joys of receiving my new phone.Now to the iPhone.Packaging - As always - neat & superior!The phone - It feels great. I personally chose the iPhone 7 over 7+ because of the size. Moving from iPhone 5 to 7 was absolutely no downer in terms of size, the size suited me well. Specifications wise - still exploring. ;)What's evi...READ MORE","Certified Buyer, Mumbai",3263
124,Saket,5,Iphone 7 and Flipkart experience,"Received Iphone 7 on the very same day when it was launched.Thank you Flipkart for super super fast delivery and an excellent packing of Iphone 7. Recently switched from android to IOS. So my review will be based on that.Pros : Performance: which is really amazing and that what it makes it worth for as compared to other phones apart from looks, light weight etc. While playing high end graphics game, the phone do get little bit heat up however as compared to android  you will not observe...READ MORE","Certified Buyer, Bangalore",138
125,Flipkart Customer,5,Great experience,"Got this phone yesterday! I upgraded from iPhone 5c and am really happy to have made the choice. iPhone 7 does not really need an introduction or review, so let's talk about the Flipkart experience! Delivery: It got delivered within 2 days and the delivery executive also took my time frame in mind while making a delivery. Since I exchanged my old phone, he waited patiently for me to open this phone and check it before leaving. The phone was packaged really well and all the genuine documents...READ MORE","Certified Buyer, Mumbai",1326
126,chandan kumar panda,5,Great product,"amazing phone  my first i phone 7 it is really nice and good performance valueable money 😉 , it's run with IOS 13 that is osm new features and amazing features 10/10 🥰😍READ MORE","Certified Buyer, Berhampur",142
127,Akshat Gupta,5,Terrific purchase,I ordered the phone on 19th December and got the delivery on 22nd December in the afternoon itself i.e. 2 days before expected delivery. The packing was good and the product is also proper condition. I found the related accesories as mentioned in the specifications. About the phone:Jet Black colour is awesome but the Apple Logo is not properly visible due to this colour. The back side of the phone is scratch prone so you better a back cover also at the same time. Camera is as usual awesome...READ MORE,"Certified Buyer, Sagar",764
128,Ezzazuddin Huseni,5,Must buy!,"From last 5 years my younger brother was using iphone 4s  and i bought iphone 7 for his birthday gift. When i gave gift packet to him he was thinking that my bro bought watch/pen/or something else but he didn't expected iphone 7 . When he opened, i found tear in his eye and he hug me.this all possible only because of flipkart sale coz we r from middle class family and can't afford this mobile in it's actual price so flipkart makes us happy.Thanks you flipkart 😍READ MORE","Certified Buyer, Ahmedabad",5471
129,suresh b,4,Pretty good,excellent phone camera is very nice and the stereo speakers are fantastic it gives you cinematic experience with the cool retaina display .Blindly go for it value for money .READ MORE,"Certified Buyer, Bengaluru",726
130,Flipkart Customer,4,Pretty good,"I have been using the earlier versions of iPhones therefore no great change with the UI on personal front. I purchased a rose gold phone but I realised that I should have gone with the black colour. The camera of iPhones are superior in all sense. The phone is sleek and light weight but slippery. Delivery was as promised. Another thing to note is, henceforth the phone are “Made in India” products.READ MORE","Certified Buyer, Greater Noida",1768
131,Mayank Chaube,5,Perfect product!,"IMPORTANT NOTICEIf you buy some apple device online there specifically i phones so 99% of it you get original phones.. but whenever you findp out best deals for yourself do ensure its imei numberSecondly, the probably of getting duplicate accessories increases with the increasing discount.. so must verify themREST the phone is superb especially when you shift first time from Android or WindowsFingerprint and Display attracted me the most😃😃READ MORE","Certified Buyer, New Delhi",445
132,Shariq Ahmad Beigh,5,Awesome,"Well, what can I say... iPhone is awesome as expected. Added the prompt delivery from Flipkart with great packaging. Truly satisfied...The lightening connector Air pods are amazing and a huge upgrade in voice quality when we compared it with an old iPhone earphone.Only con: Not a con really but I would have liked wireless Air Pods with this phone, but after seeing the performance of my lightening connector Air pods I have no regrets at all.READ MORE","Certified Buyer, Bangalore",246
133,Priyanka  Parkar,5,"Sexy got black, really black!","First to Flipkart delivery service - Thanks a lot, I received it earlier than promised. I also received a chocolate from you guys, it felt really nice. Multiplied my joys of receiving my new phone.Now to the iPhone.Packaging - As always - neat & superior!The phone - It feels great. I personally chose the iPhone 7 over 7+ because of the size. Moving from iPhone 5 to 7 was absolutely no downer in terms of size, the size suited me well. Specifications wise - still exploring. ;)What's evi...READ MORE","Certified Buyer, Mumbai",3263
134,Saket,5,Iphone 7 and Flipkart experience,"Received Iphone 7 on the very same day when it was launched.Thank you Flipkart for super super fast delivery and an excellent packing of Iphone 7. Recently switched from android to IOS. So my review will be based on that.Pros : Performance: which is really amazing and that what it makes it worth for as compared to other phones apart from looks, light weight etc. While playing high end graphics game, the phone do get little bit heat up however as compared to android  you will not observe...READ MORE","Certified Buyer, Bangalore",138
135,Flipkart Customer,5,Great experience,"Got this phone yesterday! I upgraded from iPhone 5c and am really happy to have made the choice. iPhone 7 does not really need an introduction or review, so let's talk about the Flipkart experience! Delivery: It got delivered within 2 days and the delivery executive also took my time frame in mind while making a delivery. Since I exchanged my old phone, he waited patiently for me to open this phone and check it before leaving. The phone was packaged really well and all the genuine documents...READ MORE","Certified Buyer, Mumbai",1326
136,Ezzazuddin Huseni,5,Must buy!,"From last 5 years my younger brother was using iphone 4s  and i bought iphone 7 for his birthday gift. When i gave gift packet to him he was thinking that my bro bought watch/pen/or something else but he didn't expected iphone 7 . When he opened, i found tear in his eye and he hug me.this all possible only because of flipkart sale coz we r from middle class family and can't afford this mobile in it's actual price so flipkart makes us happy.Thanks you flipkart 😍READ MORE","Certified Buyer, Ahmedabad",5471
137,suresh b,4,Pretty good,excellent phone camera is very nice and the stereo speakers are fantastic it gives you cinematic experience with the cool retaina display .Blindly go for it value for money .READ MORE,"Certified Buyer, Bengaluru",726
138,Flipkart Customer,4,Pretty good,"I have been using the earlier versions of iPhones therefore no great change with the UI on personal front. I purchased a rose gold phone but I realised that I should have gone with the black colour. The camera of iPhones are superior in all sense. The phone is sleek and light weight but slippery. Delivery was as promised. Another thing to note is, henceforth the phone are “Made in India” products.READ MORE","Certified Buyer, Greater Noida",1768
139,Mayank Chaube,5,Perfect product!,"IMPORTANT NOTICEIf you buy some apple device online there specifically i phones so 99% of it you get original phones.. but whenever you findp out best deals for yourself do ensure its imei numberSecondly, the probably of getting duplicate accessories increases with the increasing discount.. so must verify themREST the phone is superb especially when you shift first time from Android or WindowsFingerprint and Display attracted me the most😃😃READ MORE","Certified Buyer, New Delhi",445
140,Shariq Ahmad Beigh,5,Awesome,"Well, what can I say... iPhone is awesome as expected. Added the prompt delivery from Flipkart with great packaging. Truly satisfied...The lightening connector Air pods are amazing and a huge upgrade in voice quality when we compared it with an old iPhone earphone.Only con: Not a con really but I would have liked wireless Air Pods with this phone, but after seeing the performance of my lightening connector Air pods I have no regrets at all.READ MORE","Certified Buyer, Bangalore",246
141,Priyanka  Parkar,5,"Sexy got black, really black!","First to Flipkart delivery service - Thanks a lot, I received it earlier than promised. I also received a chocolate from you guys, it felt really nice. Multiplied my joys of receiving my new phone.Now to the iPhone.Packaging - As always - neat & superior!The phone - It feels great. I personally chose the iPhone 7 over 7+ because of the size. Moving from iPhone 5 to 7 was absolutely no downer in terms of size, the size suited me well. Specifications wise - still exploring. ;)What's evi...READ MORE","Certified Buyer, Mumbai",3263
142,Saket,5,Iphone 7 and Flipkart experience,"Received Iphone 7 on the very same day when it was launched.Thank you Flipkart for super super fast delivery and an excellent packing of Iphone 7. Recently switched from android to IOS. So my review will be based on that.Pros : Performance: which is really amazing and that what it makes it worth for as compared to other phones apart from looks, light weight etc. While playing high end graphics game, the phone do get little bit heat up however as compared to android  you will not observe...READ MORE","Certified Buyer, Bangalore",138
143,Flipkart Customer,5,Great experience,"Got this phone yesterday! I upgraded from iPhone 5c and am really happy to have made the choice. iPhone 7 does not really need an introduction or review, so let's talk about the Flipkart experience! Delivery: It got delivered within 2 days and the delivery executive also took my time frame in mind while making a delivery. Since I exchanged my old phone, he waited patiently for me to open this phone and check it before leaving. The phone was packaged really well and all the genuine documents...READ MORE","Certified Buyer, Mumbai",1326
144,chandan kumar panda,5,Great product,"amazing phone  my first i phone 7 it is really nice and good performance valueable money 😉 , it's run with IOS 13 that is osm new features and amazing features 10/10 🥰😍READ MORE","Certified Buyer, Berhampur",142
145,Akshat Gupta,5,Terrific purchase,I ordered the phone on 19th December and got the delivery on 22nd December in the afternoon itself i.e. 2 days before expected delivery. The packing was good and the product is also proper condition. I found the related accesories as mentioned in the specifications. About the phone:Jet Black colour is awesome but the Apple Logo is not properly visible due to this colour. The back side of the phone is scratch prone so you better a back cover also at the same time. Camera is as usual awesome...READ MORE,"Certified Buyer, Sagar",764
146,Ezzazuddin Huseni,5,Must buy!,"From last 5 years my younger brother was using iphone 4s  and i bought iphone 7 for his birthday gift. When i gave gift packet to him he was thinking that my bro bought watch/pen/or something else but he didn't expected iphone 7 . When he opened, i found tear in his eye and he hug me.this all possible only because of flipkart sale coz we r from middle class family and can't afford this mobile in it's actual price so flipkart makes us happy.Thanks you flipkart 😍READ MORE","Certified Buyer, Ahmedabad",5471
147,suresh b,4,Pretty good,excellent phone camera is very nice and the stereo speakers are fantastic it gives you cinematic experience with the cool retaina display .Blindly go for it value for money .READ MORE,"Certified Buyer, Bengaluru",726
148,Flipkart Customer,4,Pretty good,"I have been using the earlier versions of iPhones therefore no great change with the UI on personal front. I purchased a rose gold phone but I realised that I should have gone with the black colour. The camera of iPhones are superior in all sense. The phone is sleek and light weight but slippery. Delivery was as promised. Another thing to note is, henceforth the phone are “Made in India” products.READ MORE","Certified Buyer, Greater Noida",1768
149,Mayank Chaube,5,Perfect product!,"IMPORTANT NOTICEIf you buy some apple device online there specifically i phones so 99% of it you get original phones.. but whenever you findp out best deals for yourself do ensure its imei numberSecondly, the probably of getting duplicate accessories increases with the increasing discount.. so must verify themREST the phone is superb especially when you shift first time from Android or WindowsFingerprint and Display attracted me the most😃😃READ MORE","Certified Buyer, New Delhi",445
150,Shariq Ahmad Beigh,5,Awesome,"Well, what can I say... iPhone is awesome as expected. Added the prompt delivery from Flipkart with great packaging. Truly satisfied...The lightening connector Air pods are amazing and a huge upgrade in voice quality when we compared it with an old iPhone earphone.Only con: Not a con really but I would have liked wireless Air Pods with this phone, but after seeing the performance of my lightening connector Air pods I have no regrets at all.READ MORE","Certified Buyer, Bangalore",246
151,Priyanka  Parkar,5,"Sexy got black, really black!","First to Flipkart delivery service - Thanks a lot, I received it earlier than promised. I also received a chocolate from you guys, it felt really nice. Multiplied my joys of receiving my new phone.Now to the iPhone.Packaging - As always - neat & superior!The phone - It feels great. I personally chose the iPhone 7 over 7+ because of the size. Moving from iPhone 5 to 7 was absolutely no downer in terms of size, the size suited me well. Specifications wise - still exploring. ;)What's evi...READ MORE","Certified Buyer, Mumbai",3263
152,Saket,5,Iphone 7 and Flipkart experience,"Received Iphone 7 on the very same day when it was launched.Thank you Flipkart for super super fast delivery and an excellent packing of Iphone 7. Recently switched from android to IOS. So my review will be based on that.Pros : Performance: which is really amazing and that what it makes it worth for as compared to other phones apart from looks, light weight etc. While playing high end graphics game, the phone do get little bit heat up however as compared to android  you will not observe...READ MORE","Certified Buyer, Bangalore",138
153,Flipkart Customer,5,Great experience,"Got this phone yesterday! I upgraded from iPhone 5c and am really happy to have made the choice. iPhone 7 does not really need an introduction or review, so let's talk about the Flipkart experience! Delivery: It got delivered within 2 days and the delivery executive also took my time frame in mind while making a delivery. Since I exchanged my old phone, he waited patiently for me to open this phone and check it before leaving. The phone was packaged really well and all the genuine documents...READ MORE","Certified Buyer, Mumbai",1326
154,chandan kumar panda,5,Great product,"amazing phone  my first i phone 7 it is really nice and good performance valueable money 😉 , it's run with IOS 13 that is osm new features and amazing features 10/10 🥰😍READ MORE","Certified Buyer, Berhampur",142
155,Akshat Gupta,5,Terrific purchase,I ordered the phone on 19th December and got the delivery on 22nd December in the afternoon itself i.e. 2 days before expected delivery. The packing was good and the product is also proper condition. I found the related accesories as mentioned in the specifications. About the phone:Jet Black colour is awesome but the Apple Logo is not properly visible due to this colour. The back side of the phone is scratch prone so you better a back cover also at the same time. Camera is as usual awesome...READ MORE,"Certified Buyer, Sagar",764
156,Ezzazuddin Huseni,5,Must buy!,"From last 5 years my younger brother was using iphone 4s  and i bought iphone 7 for his birthday gift. When i gave gift packet to him he was thinking that my bro bought watch/pen/or something else but he didn't expected iphone 7 . When he opened, i found tear in his eye and he hug me.this all possible only because of flipkart sale coz we r from middle class family and can't afford this mobile in it's actual price so flipkart makes us happy.Thanks you flipkart 😍READ MORE","Certified Buyer, Ahmedabad",5471
157,suresh b,4,Pretty good,excellent phone camera is very nice and the stereo speakers are fantastic it gives you cinematic experience with the cool retaina display .Blindly go for it value for money .READ MORE,"Certified Buyer, Bengaluru",726
158,Flipkart Customer,4,Pretty good,"I have been using the earlier versions of iPhones therefore no great change with the UI on personal front. I purchased a rose gold phone but I realised that I should have gone with the black colour. The camera of iPhones are superior in all sense. The phone is sleek and light weight but slippery. Delivery was as promised. Another thing to note is, henceforth the phone are “Made in India” products.READ MORE","Certified Buyer, Greater Noida",1768
159,Mayank Chaube,5,Perfect product!,"IMPORTANT NOTICEIf you buy some apple device online there specifically i phones so 99% of it you get original phones.. but whenever you findp out best deals for yourself do ensure its imei numberSecondly, the probably of getting duplicate accessories increases with the increasing discount.. so must verify themREST the phone is superb especially when you shift first time from Android or WindowsFingerprint and Display attracted me the most😃😃READ MORE","Certified Buyer, New Delhi",445
160,Shariq Ahmad Beigh,5,Awesome,"Well, what can I say... iPhone is awesome as expected. Added the prompt delivery from Flipkart with great packaging. Truly satisfied...The lightening connector Air pods are amazing and a huge upgrade in voice quality when we compared it with an old iPhone earphone.Only con: Not a con really but I would have liked wireless Air Pods with this phone, but after seeing the performance of my lightening connector Air pods I have no regrets at all.READ MORE","Certified Buyer, Bangalore",246
161,Priyanka  Parkar,5,"Sexy got black, really black!","First to Flipkart delivery service - Thanks a lot, I received it earlier than promised. I also received a chocolate from you guys, it felt really nice. Multiplied my joys of receiving my new phone.Now to the iPhone.Packaging - As always - neat & superior!The phone - It feels great. I personally chose the iPhone 7 over 7+ because of the size. Moving from iPhone 5 to 7 was absolutely no downer in terms of size, the size suited me well. Specifications wise - still exploring. ;)What's evi...READ MORE","Certified Buyer, Mumbai",3263
162,Saket,5,Iphone 7 and Flipkart experience,"Received Iphone 7 on the very same day when it was launched.Thank you Flipkart for super super fast delivery and an excellent packing of Iphone 7. Recently switched from android to IOS. So my review will be based on that.Pros : Performance: which is really amazing and that what it makes it worth for as compared to other phones apart from looks, light weight etc. While playing high end graphics game, the phone do get little bit heat up however as compared to android  you will not observe...READ MORE","Certified Buyer, Bangalore",138
163,Flipkart Customer,5,Great experience,"Got this phone yesterday! I upgraded from iPhone 5c and am really happy to have made the choice. iPhone 7 does not really need an introduction or review, so let's talk about the Flipkart experience! Delivery: It got delivered within 2 days and the delivery executive also took my time frame in mind while making a delivery. Since I exchanged my old phone, he waited patiently for me to open this phone and check it before leaving. The phone was packaged really well and all the genuine documents...READ MORE","Certified Buyer, Mumbai",1326
164,chandan kumar panda,5,Great product,"amazing phone  my first i phone 7 it is really nice and good performance valueable money 😉 , it's run with IOS 13 that is osm new features and amazing features 10/10 🥰😍READ MORE","Certified Buyer, Berhampur",142
165,Akshat Gupta,5,Terrific purchase,I ordered the phone on 19th December and got the delivery on 22nd December in the afternoon itself i.e. 2 days before expected delivery. The packing was good and the product is also proper condition. I found the related accesories as mentioned in the specifications. About the phone:Jet Black colour is awesome but the Apple Logo is not properly visible due to this colour. The back side of the phone is scratch prone so you better a back cover also at the same time. Camera is as usual awesome...READ MORE,"Certified Buyer, Sagar",764
166,Ezzazuddin Huseni,5,Must buy!,"From last 5 years my younger brother was using iphone 4s  and i bought iphone 7 for his birthday gift. When i gave gift packet to him he was thinking that my bro bought watch/pen/or something else but he didn't expected iphone 7 . When he opened, i found tear in his eye and he hug me.this all possible only because of flipkart sale coz we r from middle class family and can't afford this mobile in it's actual price so flipkart makes us happy.Thanks you flipkart 😍READ MORE","Certified Buyer, Ahmedabad",5467
167,suresh b,4,Pretty good,excellent phone camera is very nice and the stereo speakers are fantastic it gives you cinematic experience with the cool retaina display .Blindly go for it value for money .READ MORE,"Certified Buyer, Bengaluru",726
168,Flipkart Customer,4,Pretty good,"I have been using the earlier versions of iPhones therefore no great change with the UI on personal front. I purchased a rose gold phone but I realised that I should have gone with the black colour. The camera of iPhones are superior in all sense. The phone is sleek and light weight but slippery. Delivery was as promised. Another thing to note is, henceforth the phone are “Made in India” products.READ MORE","Certified Buyer, Greater Noida",1765
169,Mayank Chaube,5,Perfect product!,"IMPORTANT NOTICEIf you buy some apple device online there specifically i phones so 99% of it you get original phones.. but whenever you findp out best deals for yourself do ensure its imei numberSecondly, the probably of getting duplicate accessories increases with the increasing discount.. so must verify themREST the phone is superb especially when you shift first time from Android or WindowsFingerprint and Display attracted me the most😃😃READ MORE","Certified Buyer, New Delhi",445
170,Shariq Ahmad Beigh,5,Awesome,"Well, what can I say... iPhone is awesome as expected. Added the prompt delivery from Flipkart with great packaging. Truly satisfied...The lightening connector Air pods are amazing and a huge upgrade in voice quality when we compared it with an old iPhone earphone.Only con: Not a con really but I would have liked wireless Air Pods with this phone, but after seeing the performance of my lightening connector Air pods I have no regrets at all.READ MORE","Certified Buyer, Bangalore",246
171,Priyanka  Parkar,5,"Sexy got black, really black!","First to Flipkart delivery service - Thanks a lot, I received it earlier than promised. I also received a chocolate from you guys, it felt really nice. Multiplied my joys of receiving my new phone.Now to the iPhone.Packaging - As always - neat & superior!The phone - It feels great. I personally chose the iPhone 7 over 7+ because of the size. Moving from iPhone 5 to 7 was absolutely no downer in terms of size, the size suited me well. Specifications wise - still exploring. ;)What's evi...READ MORE","Certified Buyer, Mumbai",3267
172,Saket,5,Iphone 7 and Flipkart experience,"Received Iphone 7 on the very same day when it was launched.Thank you Flipkart for super super fast delivery and an excellent packing of Iphone 7. Recently switched from android to IOS. So my review will be based on that.Pros : Performance: which is really amazing and that what it makes it worth for as compared to other phones apart from looks, light weight etc. While playing high end graphics game, the phone do get little bit heat up however as compared to android  you will not observe...READ MORE","Certified Buyer, Bangalore",138
173,Flipkart Customer,5,Great experience,"Got this phone yesterday! I upgraded from iPhone 5c and am really happy to have made the choice. iPhone 7 does not really need an introduction or review, so let's talk about the Flipkart experience! Delivery: It got delivered within 2 days and the delivery executive also took my time frame in mind while making a delivery. Since I exchanged my old phone, he waited patiently for me to open this phone and check it before leaving. The phone was packaged really well and all the genuine documents...READ MORE","Certified Buyer, Mumbai",1326
174,chandan kumar panda,5,Great product,"amazing phone  my first i phone 7 it is really nice and good performance valueable money 😉 , it's run with IOS 13 that is osm new features and amazing features 10/10 🥰😍READ MORE","Certified Buyer, Berhampur",141
175,Akshat Gupta,5,Terrific purchase,I ordered the phone on 19th December and got the delivery on 22nd December in the afternoon itself i.e. 2 days before expected delivery. The packing was good and the product is also proper condition. I found the related accesories as mentioned in the specifications. About the phone:Jet Black colour is awesome but the Apple Logo is not properly visible due to this colour. The back side of the phone is scratch prone so you better a back cover also at the same time. Camera is as usual awesome...READ MORE,"Certified Buyer, Sagar",763
176,Ezzazuddin Huseni,5,Must buy!,"From last 5 years my younger brother was using iphone 4s  and i bought iphone 7 for his birthday gift. When i gave gift packet to him he was thinking that my bro bought watch/pen/or something else but he didn't expected iphone 7 . When he opened, i found tear in his eye and he hug me.this all possible only because of flipkart sale coz we r from middle class family and can't afford this mobile in it's actual price so flipkart makes us happy.Thanks you flipkart 😍READ MORE","Certified Buyer, Ahmedabad",5471
177,suresh b,4,Pretty good,excellent phone camera is very nice and the stereo speakers are fantastic it gives you cinematic experience with the cool retaina display .Blindly go for it value for money .READ MORE,"Certified Buyer, Bengaluru",726
